,text,tag,author,from_book
0,孩子，我知道你讨厌宗教，也不信神佛，但是，有些事情确实不能否定的。其实，在每个人的心中，都有属于自己的信仰，无论你有无宗教背景，无论你是否是无神论者。那种信仰，即是追求，一种促使人活下去的力量。生存，是人类和所有生物在物质欲望上的本能，从生命诞生的那一刻起，就注定了要为继续存活下去而不断挣扎努力；信仰，则是人类在精神欲望上的本能，有时候，它甚至超越了人类肉体物欲上的本能，驱使人去完成不可能完成的事。然而人是脆弱的，不仅肉体脆弱，人的心灵也同样脆弱。远古的人类由于肉体的弱小和知识的匮乏，天生就对未知感到害怕，他们害怕陌生的事物，害怕陌生的力量，古人就如同初生的婴儿，对一切充满了好奇和恐惧。人们总会遇到无法解决的难题，无法克服的恐惧。,恐惧,何马,《藏地密码》
1,真正可怕的，是那些看不见的敌人。,恐惧,何马,《藏地密码》
2,在恐惧中生活的人，往往会暴露出他自己真正的弱点。,恐惧,雷米,《心理罪》
3,其实没那么难，就像打碎一面镜子， 你只需要盯着它 ，面对它 ，别那么傲娇 ，更别恐惧 ，也就是一挥拳， 就算手破了又能流多少血呢。,恐惧,雷米,《心理罪》
4,在恐惧中生活的人，往往会暴露出他自己真正的弱点。,恐惧,雷米,《心理罪》
5,在平常的时候，人往往能表现出人性中较好的一面。他会显得优雅、大方、游刃有余。但是在危急时刻，当恐惧和压力大到他不能承受的地步时，人就露出他的怯懦和弱点来。,恐惧,老猪,《紫川》
6,这世上有人痛恨我们，有人恐惧我们，有人厌恶我们，但却没人能无视我们。男儿能如此一声，虽死足矣！,恐惧,老猪,《紫川》
7,有一个很模糊很模糊的东西在我混浊的脑海中渐渐成形，我尚未能够清晰地捕捉住它，便已经感觉到了一种恐惧，前所未有的寒意让我感觉犹如冰天雪地里肉身临街。,恐惧,独木舟,《一粒红尘》
8,我不打算推诿，一丝都不要，我生怕轻轻一推这梦就碎了。,恐惧,七堇年,《尘曲》
9,他经常哭泣，因为他没有勇气突破自己的恐惧来爱。,恐惧,杜拉斯,《情人》
10,他们彼此封锁起来，沉陷在恐惧之中，随后，恐惧消散，他们在泪水、失望、幸福中屈服于恐惧。,恐惧,杜拉斯,《情人》
11,不管是真爱还是不爱，心里总要感到慌乱，总是害怕的。,恐惧,杜拉斯,《情人》
