,text,tag,author,from_book
0,不要有了点击率，有了收视率，还要来批评我们媒体无脑。,愤怒,林君阳,《我们与恶的距离》
1,因为你们这些人遇到这些事情，只有愤怒，害怕，你们胆怯。,愤怒,林君阳,《我们与恶的距离》
2,你们拿被你们自己践踏的媒体权任意断定人。,愤怒,林君阳,《我们与恶的距离》
3,现在年轻人是不是都草莓族啊？还想让观众看到世界的全貌报导的全貌，你连电视台跟自己的全貌都没看清楚，你就要辞职。有本事就不要犯错误啊。,愤怒,林君阳,《我们与恶的距离》
4,因为你们这些人遇到这些事情，只有愤怒，害怕，你们胆怯。,愤怒,林君阳,《我们与恶的距离》
5,我哥是杀了很多人，但我跟我家人连活下去的权利都没有吗？,愤怒,林君阳,《我们与恶的距离》
6,警察应该忠诚，但应该忠于什么，是法律，还是良心？,愤怒,雷米,《心理罪》
7,活在这个城市中的人，在其或漫长或短暂的生命中，多少都受过他人的恶行相待。其中相当一部分恶行，仅能通过道德加以苛责。彼时彼地，法律显得既苍白又无力。我们也许会同情，会愤怒，但不会想到去击杀那些原本与我们无关的作恶者。别人的苦难，终究是别人的，我们的克制，多半源自于不曾感同身受。然而，一旦有人这么做了，我们的内心却难免会感到快慰。民众如是，警察亦如是。,愤怒,雷米,《心理罪》
8,可是那故事一点也不好听，对我而言，等于是在揭我的疮疤！你为什么一定要挖我心底的伤口呢？欠你的已经都还你了，还不够啊？,愤怒,琼瑶,《一帘幽梦》
9,什么叫忙着游荡啊？你不要认为大家放纵你，你就不知道天高地厚了！,愤怒,琼瑶,《一帘幽梦》
10,有人说，他是光芒万丈的天王巨星。,愤怒,饶晓志,《人潮汹涌》
11,你心中虚空，如何配的天下？,愤怒,李蔚然,《侍神令》
12,人和妖缔结盟誓，却是天大的笑话。,愤怒,李蔚然,《侍神令》
13,分明是人，又偏要去养那些妖。,愤怒,李蔚然,《侍神令》
14,“愚直地、认真地、专业地、诚实地”投身于自己的工作，长此以往，人就能很自然地抑制自身的欲望。此外，热衷于工作，还能镇住愤怒之心，也会无暇发牢骚，而且日复一日努力工作，还能一点一点提升自己的人格。,愤怒,稻盛和夫,《干法》
15,她从不允许我软弱，认为软弱是一种耻辱，她认定了要做成的事情，绝不容许我失败。她用衣衫褴褛的面目时刻提醒我，你必须努力，豁出性命地努力才有可能让你获得那些别人天生就已经拥有的东西。,愤怒,独木舟,《一粒红尘》
16,并不是每一次握手言和，都能够抚平伤害。,愤怒,独木舟,《一粒红尘》
17,我们人类是这样一种生物：会愤怒地砸碎一面诚实的镜子，如果从镜中看到的是一个不愿看到的丑陋模样的话。而一万个人，就有一万种希望从镜中看到的模样——所以镜子很无辜。,愤怒,七堇年,《尘曲》
18,对于罪人的定义，我想律法给的还是太过简单，如果一个人伤害了他人，打乱了他人的生活，而这些人甚至是他最亲的人，他就是个不折不扣的混蛋和罪人了，我想是这样的。,愤怒,杜拉斯,《情人》
19,生在皇家，只论输赢，不提亏欠。,愤怒,饶俊,《我就是这般女子》
20,若是普通人家婚事不幸，只要有娘家人支持，女儿家尚能提出和离。可是嫁入皇家，那就只能生是皇家的人，死是皇家的鬼。,愤怒,饶俊,《我就是这般女子》
21,过了很长时间，我才开始看清一些人的真面目，我不再对他们同情怜悯，我不再对他们和颜悦色，因为他们不配。,愤怒,克莱儿·麦克福尔,《摆渡人》
22,"当有罪疚、愤怒、生气、被遗弃等负面情绪，回到身体里，去感受此刻身体的感觉。用你的呼吸轻轻地去抚慰你最不舒服的地方，告诉它：""我在这里，陪着你。没关系，你可以痛，你可以紧绷，你可以不舒服，我允许你如实地存在。""就这样跟你的身体待在一起，疗愈就会发生。",愤怒,张德芬,《遇见未知的自己》
23,恐惧，愤怒，悲伤都是生命能量的自然流动，它们会来，就一定会走。,愤怒,张德芬,《遇见未知的自己》
24,就我们目前最进步的科学所知，整个宇宙就是个盲目而没有目的的过程，充满各种杂音和愤怒，但这些都毫无意义。我们只是在一个行星上占据着再小不过的一点位置，存在着再短不过的一段时间，如麦克白所说的那个可悲演员，在台上得意或失意了一会儿，就再也悄无声息。,愤怒,雅克·阿塔利,《未来简史》
25,恐怖分子就像一只想要大闹瓷器店的苍蝇。苍蝇如此弱小，凭一己之力连一只茶杯也挪动不了，于是便找来一头牛，钻到它的耳朵里嗡嗡叫，让牛因为恐惧和愤怒而发狂，从而破坏整个瓷器店。这正是过去十年间在中东发生的事情。,愤怒,雅克·阿塔利,《未来简史》
26,蛮横无理和狂暴的愤怒令人讨厌。但是我们钦佩那种高尚和大度的憎恨，它不是按照受害者心中的狂怒，而是根据公正的旁观者心中的义愤来抑制受害者的愤恨。这种高尚和大度的憎恨不让自己的言语、举止超出这种情感所支配的程度。甚至受害者在思想上也不图谋进行过分的报复，也不想施加过分的惩罚。,愤怒,亚当·斯密,《国富论》
27,自己人顶个屌用，造谣生非，含血喷人的都是自己人。,愤怒,麦家,《风声》
28,情报，比你的命还重要吗？比命重要吗？,愤怒,麦家,《风声》
29,我李宁玉，堂堂美国宾夕法尼亚大学的高材生！不是妓女！,愤怒,麦家,《风声》
30,说不定表面看来煞有其事的牺牲奉献精神，其实是藏污纳垢的渊薮。,愤怒,乔治·奥威尔,《一九八四》
31,成年的黑人，从小受逆来顺受的教育，由于多少年没有别的办法，只能接受这个制度，他们一般都趋于内向，本来应该理直气壮地感到愤怒，却为绝望的心情所代替。当101空降师在阿肯色去的胜利是，如有一个美国黑人感到欢欣鼓舞，就至少有几十个黑人因此而担心——完全情有可原——这将引起白人的愤怒。他们读到有关贾奇·阿伦时间的报道，因此知道，要不是上帝慈悲为怀，他们也会遭到阿伦的下场。但是，他们的子女一代的反应就不同了。发生在蒙哥马利地址公共汽车的斗争和最高法院宣告种族歧视非法的决定之后，阿肯色中心中学的对抗增强了他们的希望，使他们感到过去的陈规陋习可能会打破了。正是在这个意义上，在1957年的秋天，小石城时间在一些黑人青少年的心中留下了深刻的印象。,愤怒,威廉·曼彻斯特,《光荣与梦想》
32,只有暴发户才来不及的刻薄下人。,愤怒,亦舒,《喜宝》
33,这个世界，白痴才说钱没用。,愤怒,亦舒,《喜宝》
34,愤怒会让你变愚蠢，而愚蠢会让你丧命。,愤怒,罗伯特·柯克曼,《行尸走肉》
35,至此我才领教了，有比社会压力还要可怕的压力，就是家庭压力。,愤怒,张贤亮,《男人的一半是女人》
36,天不下雨是老天爷的事，关这胖大龙王什么事儿？,愤怒,莫言,《红高粱》
37,你个娘们，脱了裤子和我风流快活，穿上裤子你就不认帐了？,愤怒,莫言,《红高粱》
38,现在是查谁谁有问题，不查没问题，一查准有问题，越查问题越严重。,愤怒,李佩甫,《羊的门》
39,人都是顽固不化和自以为是的，相安无事的唯一办法就是欺骗。,愤怒,王朔,《动物凶猛》
40,所谓门槛，能力够了就是门，能力不够就是槛。,愤怒,陈彦,《装台》
41,他当领导群众受不了，他当群众领导受不了。,愤怒,陈彦,《装台》
42,"一个人倘若还知道羞耻,还能坦然认罪，那不管他看起来多不痛快多优柔寡断，当不成英雄，也不至于是狗熊了。",愤怒,Priest,《有翡》
43,乱世里本就没有王法，如果道义也黯然失声，那么其中苟且偷生的人们，还有什么可期盼的呢？,愤怒,Priest,《有翡》
44,假如我那样不懂人情世故，我就会吃了我的帽子，还会把扣子吞下去。,愤怒,狄更斯,《匹克威克外传》
45,为了让后代尊崇和称羡，我们的法令却只字不改，公正而健全的法律规定了强壮的凶犯应该给吃给穿，而不名一文的负债人却只能听任他们饿死冻死。,愤怒,狄更斯,《匹克威克外传》
46,人们简直不懂，他们把穷人丧失亲属冷冷淡淡地说成是死者脱离苦海，生者减轻负担——我说他们简直不懂这种丧亡是何等的惨痛。,愤怒,狄更斯,《匹克威克外传》
47,许多作家抱着一种不仅是愚笨的、而且的确是不诚实的态度，不肯承认他们取得许多可贵的材料的来源。,愤怒,狄更斯,《匹克威克外传》
48,格列佛还谈起法律和金钱的用处。他说欧洲的耶胡们认为：“不管是用钱还是攒钱，钱总是越多越好，没有个够的时候，因为他们天性就是这样，不是奢侈浪费就是贪婪无厌。富人享受着穷人的成果，而穷人和富人在数量上的比例是一千比一。”,愤怒,乔纳森·斯威夫特,《格列佛游记》
49,我对我国过去一百年中的重大事件所著的一番历史的叙述另他大为震惊，他断然宣称，那些事不过是一大堆阴谋，叛乱，残暴，愤怒，疯狂，仇恨，嫉妒，淫欲，阴险和野心所能产生的最恶的恶果。,愤怒,乔纳森·斯威夫特,《格列佛游记》
50,郝克托尔还活着，家中已哭成一片，显然他是不会从战场回来了，他将不能逃脱阿凯亚人的手臂和愤怒。,愤怒,荷马,《荷马史诗》
51,人性论、人情味属于资产阶级。群众运动，运动群众。运动群众的人自己也被运动。地球在公转和自转，岂能不动?念念不忘你死我活。,愤怒,古华,《芙蓉镇》
52,他们不懂得在和平时期，对秦书田这些手无寸铁的敌人的仁慈，就是对人民的残忍。他们不懂得若还秦书田、胡玉音们翻了天，复了辟，干百万革命的人头就会落地，就会血流成河，尸横遍野。秦书田就会重新登台指挥表演《喜歌堂》，把社会主义当作封建主义来反，红彤彤的江山就改变了颜色，变成紫色、蓝色、黄色、绿色。胡玉音就会重新五天一圩，在芙蓉镇上架起米豆腐摊子，一角钱一碗，剥削鱼肉人民的血汗，再去起新楼屋，当新地主、新富农。,愤怒,古华,《芙蓉镇》
53,有时候是人，有时候是鬼。,愤怒,古华,《芙蓉镇》
54,那是什么样的年月？一切真善美和假恶丑、是与非、红与黑全都颠颠倒倒光怪陆离的年月，牛肝猪肺、狼心狗肚一锅煎炒、蒸熬的年月。正义含垢忍辱、苟且偷生，派性应运而生、风火狂阔。,愤怒,古华,《芙蓉镇》
55,活下去，像牲口一样活下去！,愤怒,古华,《芙蓉镇》
56,你可曾见过这世间有一对完美的夫妇，真正的灵魂伴侣，没有猜忌愤怒？我倒认识一对，就是结婚蛋糕上的两个小人，因为他们从不需要面对彼此,愤怒,马克·切利,《绝望的主妇》
57,愤怒的陈松林，什么也不想看了，绕过松林坡，径直朝华为的宿舍走去。他对那个受了伤的，被叫作黎纪纲的学生，产生了强烈的好感和同情。,愤怒,杨益言,《红岩》
58,吾本乘兴而行，兴尽而返，何必见戴！,愤怒,刘义庆,《世说新语》
59,你这个灾星，你还我桃花坳，你还我爹娘。,愤怒,佚名,《山海经》
60,牺牲无辜之人，这就是天道吗？,愤怒,程腾,《姜子牙》
61,现在社会上有一种骗子，打着老乡的旗号假装跟你很熟。,愤怒,宁浩,《我和我的家乡》
62,人们在爱上一个人却得不到回报时，往往感到伤心失望，继而变成愤怒和尖刻。,愤怒,毛姆,《面纱》
