,text,tag,author,from_book
0,一种解法是，宽容些、开放些、多看看、多听听，生命中没有感动就放过去，有感动就想一想。如果身心带宽足够，双重生活、三重生活，都是正路。,感动,冯唐,《活着活着就老了》
1,人生最重要的不是永久的拥有，我们曾感动，相伴到老，我很满足有这一切就足够了。,感动,辰东,《遮天》
2,当研究工作进展顺利时，就要直率地表达出快乐；当研究成果受到别人的夸奖时，就要诚挚地表示感谢。继而将这种喜悦和感动当作精神食粮，然后继续投入艰苦的工作。,感动,稻盛和夫,《干法》
3,我们忘乎所以地记录与追求的，只不过是一次纯粹的感动。,感动,七堇年,《尘曲》
4,女人拥有的东西越少，就越容易被感动，被哄骗。但若是一个女人从小万事不缺，父母宠爱，兄弟爱护，那她就不容易被小恩小惠所打动。,感动,饶俊,《我就是这般女子》
5,在广播时她念了他最后一封信，,感动,辛波斯卡,《辛波斯卡诗选：万物静默如谜》
6,那一夜，寂寞的夜，回首往事，叹息不宜，听首情歌，感动不宜，泪流满面，触动我的心縼！,感动,简·奥斯汀,《理智与情感》
7,今天优势不代表明天趋势，昨天辉煌不代表今后方向。人生就是要：不断创造精彩，不断奉献经典，让今后有所感动，让明天充满希望。,感动,沈括,《梦溪笔谈》
8,我并没有被感动，若干年前我会，现在，世界上很多人善于演戏，他们演戏，我观剧。观众有时候也很投入剧情，仅只限于此。,感动,亦舒,《喜宝》
9,为什么我还会有难以排遣的寂寞心情和压抑不住的强烈怀念？为什么我会如此激动？如此敏感？如此脆弱？平日司空见惯一向无动于衷的风景，乃至树叶的簌响，鸟类的呢喃，一朵云的形状，一枝花的姿态，一个音符，甚或一籁俱寂都会使得我深受感动，动辄热泪盈眶。,感动,王朔,《动物凶猛》
10,我一点也不感动，不是施教者不真诚抑或是这道理没有说服力，而是无法再感动了。类似的话我从不同渠道听过不下一千遍，我起码有一次到两百次被感动过，这就像一个只会从空箱子往外掏鸭子的魔术师，你不能回回都对他表示惊奇。另外我也不认为过份吹捧和寄予厚望对一个少年有什么好处，这有强迫一个体弱的人挑重担子的嫌疑，最好的结果也不过是造就一大批野心家和自大狂。,感动,王朔,《动物凶猛》
11,那些人扭曲的脸，血肉模糊的膝盖，受苦的心灵，祈求的方式，实实在在地使我愤怒。愚蠢的人啊!你们在求什么?,感动,三毛,《万水千山走遍》
12,女人是天生的情感动物，感情丰富、细腻，她们很容易产生各种各样的情感和感受，并擅长用语言将它们描述出来。当女人感到压力的时候，她们希望与人交流内心的感受，如果她们的感受被理解和关注，其体内的催产素就会增加，从而达到减压的目的。女人的压力反应机制是需要其他人参与的，不能达到最好的减压效果。但对于男人来说，要给予女人有效的帮助并不容易。,感动,约翰·格雷,《男人来自火星女人来自金星》
