,text,tag,author,from_book
0,有假象就有真相，有反就有正。,辨证,雷米,《心理罪》
1,我就是我，我也可以不是我，干掉那个“我”字，才是真正的我。,辨证,雷米,《心理罪》
2,每次有人跟我说这不是钱的问题的时候，不用问，那一定是钱的问题。,辨证,老猪,《紫川》
3,人类其实就是在犯错误的过程中学习的。,辨证,罗伯特·清崎,《富爸爸穷爸爸》
4,忙碌的人常常是最懒惰的人。,辨证,罗伯特·清崎,《富爸爸穷爸爸》
5,在专业技能上非常精通既是优势也是弱点。,辨证,罗伯特·清崎,《富爸爸穷爸爸》
6,最深沉的阴影，背面总有最灿烂的光。,辨证,李木戈,《暗恋橘生淮南》
7,当你轻率的排斥了另一半的宇宙时，你甚至无法了解你这一半。,辨证,尼尔·唐纳德·沃尔什,《与神对话》
8,自己聪明的人是傻瓜，做傻的人才是真聪明。,辨证,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
9,做人慷慨是好事，但你必须预见到接受你恩惠的人将感到“背负了恩情”。对此，必须谨慎。批评人也是正常的，但你得愿意接受他的厌恶所产生的后果。,辨证,鲁思·本尼迪克特,《菊与刀》
10,他们不到觉悟的时候，就不会造反；他们不造反，就不会觉悟。,辨证,乔治·奥威尔,《一九八四》
11,以身作则对好人来说是固然是绝伦的大好事；但对坏人来说，它的害处是无以复加的。,辨证,荷马,《荷马史诗》
12,法国画家德拉克洛瓦说得好：“自然只是一部字典而不是一部书。”人人尽管都有一部字典在手边，可是用这部字典中的字来做出诗文，则全凭各人的情趣和才学。做得好诗文的人都不能说是模仿字典。说自然本来就美者也犹如说字典中原来就有《陶渊明集》和《红楼梦》一类作品在内。这显然是很荒谬的。,辨证,朱光潜,《谈美》
13,人与自然（包括社会）绝不是两个互不相干的对立面，而是不断地互相斗争又互相推进的。,辨证,朱光潜,《谈美书简》
14,凡是有东西腐烂的地方都会有新的东西生长。,辨证,阿来,《尘埃落定》
15,是行刑人就不会害伯，不是行刑人就会害怕。,辨证,阿来,《尘埃落定》
16,对错只在自己心中，你认为我错了，我又何尝不是认为你错。但是我想告诉你，你可以不相信情义，但最好不要藐视情义，否则，你终将被情义所败。,辨证,海宴,《琅琊榜》
17,当人们看到太多相同的时候，也许我们很无知；当人们看到太多不同的时候，也许我们视野不够大；当人们同时看到不同和相同的时候，也许这恰是我们的智慧原点。,辨证,雷·库兹韦尔,《奇点临近》
18,空间是弯曲的，恰好使其无限而又有限。恰当地说，甚至不能说空间在不断膨胀… 史蒂文·温伯格指出：“太阳系和星系不在膨胀，空间本身也不在膨胀。”倒是星系在飞速彼此远离。 无法想象，逻辑理解不能，感觉汉字都不认识了。,辨证,比尔·布莱森,《万物简史》
19,少即是多，而且通常更有效。,辨证,纳西姆·尼古拉斯·塔勒布,《反脆弱》
20,你的朋友不及格，你感觉很糟；你的朋友考第一，你感觉更糟。,辨证,拉吉库马尔·希拉尼,《三傻大闹宝莱坞》
21,离去之后是再来，永远偿还这永远的债务，,辨证,惠特曼,《草叶集》
22,我自相矛盾吗？,辨证,惠特曼,《草叶集》
23,公众在气质上是专横的; 一般的公道，当过份作为一种权利来要求时，人们就会拒绝；但是如果按照一般暴君所喜欢的那样，完全听凭他们的宽宏大量，倒时常可以得到超过普通应得的报偿。,辨证,纳撒尼尔·霍桑,《红字》
24,世界因变老而日益壮大，未来缩小了。,辨证,纳撒尼尔·霍桑,《红字》
25,想要战胜一个无法战胜的人，唯有将友谊作为武器。,辨证,马尔克斯,《族长的秋天》
26,过早的黎明带来了漫长的黄昏,辨证,梭罗,《瓦尔登湖》
27,你如果谈论天国，也就羞辱了大地。,辨证,梭罗,《瓦尔登湖》
28,一个人越是能够放弃一些东西，越是富有。,辨证,梭罗,《瓦尔登湖》
29,爱虽给你加冠，他也要将你钉在十字架上。他虽栽培你，他也刈剪你,辨证,纪伯伦,《先知》
30,爱为你们戴上冠冕的同时，也会把你们钉在十字架上。,辨证,纪伯伦,《先知》
31,只有当你们不把自由称为目标或成就时，你们才是自由的。,辨证,纪伯伦,《先知》
32,仁慈对镜自视时，会变成顽石。善行自诩美名时，会变成诅咒的根源。,辨证,纪伯伦,《先知》
33,你们即是路，也是先行者。(两面性)罪犯常常是受害者的牺牲品。,辨证,纪伯伦,《先知》
34,你们的快乐，正是你们揭去面具的悲伤，悲伤在你们心中刻的痕迹越深，你们能容纳的快乐便越多。,辨证,纪伯伦,《先知》
35,也总有人对你说生活是黑暗的，你们疲惫时重复疲惫者的语言。 而我说生活的确是黑暗的，除非有了渴望， 所有渴望都是盲目的，除非有了知识， 一切知识都是徒然的，除非有了工作， 所有工作都是空虚的，除非有了爱; 当你们带着爱工作时，你们就与自己，与他人，与上帝合为一体。,辨证,纪伯伦,《先知》
36,缺陷如果并非来自于能力或才华的不足，而是发自细密画家的灵魂深处，那就不该被视为缺陷，那已经是风格了。,辨证,奥尔罕·帕慕克,《我的名字叫红》
37,亲身经历过主题并不能使我们成为大师，我们之所以成为大师，正是因为从没经历过。,辨证,奥尔罕·帕慕克,《我的名字叫红》
38,我不是我，而我说的却永远都是你。,辨证,奥尔罕·帕慕克,《我的名字叫红》
39,记得即表示知晓你所看见的；知晓即表示记得你所看见的；看见则表示无需记得的知晓。,辨证,奥尔罕·帕慕克,《我的名字叫红》
40,多数，常是愚蠢和懦弱的政策的辩护者，一百个愚夫，不能成为一个聪明人，所以英武的决断，决不能从一百个懦夫中得到。,辨证,希特勒,《我的奋斗》
41,假使其他人不傻，那么傻瓜一定是我们。,辨证,威廉·布莱克,
42,极端的法规，就是极端的不公。,辨证,西塞罗,《佚名》
43,到了没有人自甘堕落的时候，人也就不会因为诚实而到赞誉了。,辨证,西塞罗,《佚名》
44,神赋予我们恶的同时，也给我们征服恶的武器。,辨证,托马斯·卡莱尔,《佚名》
45,骗子和受骗者是同一事物正反两个方面。,辨证,托马斯·卡莱尔,《佚名》
46,即使真相并不令人愉快，也一定要做到诚实，因为掩盖真相往往要费更大力气。,辨证,伯特兰·罗素,《佚名》
47,广义地说，最渴望权力之人就是最可能获得权力之人。,辨证,伯特兰·罗素,《佚名》
48,不要为自己持独特看法而感到害怕，因为我们现在所接受的常识都曾是独特看法。,辨证,伯特兰·罗素,《佚名》
49,眼光长远是理性的，但也是苦闷的，因为美好永远在将来，当下永远有苦难。,辨证,伯特兰·罗素,《佚名》
50,你能在浪费时间中获得乐趣，就不是浪费时间。,辨证,伯特兰·罗素,《佚名》
51,每当我们给个人一种影响的时候，而这影响必定同时应当是给予集体的一种影响。,辨证,马卡连柯,《马卡连柯教育文集》
52,教是为了达到不需要教。,辨证,叶圣陶,《佚名》
