,text,tag,senti_polarity
0, 【智言慧语】这个世界上没有比自己更强大的敌人，他门拥有与你一样的才华一样的头脑一样的身材，但是我相信他门比你更了解你自己，战胜自己才是我门最后的目标。,励志,positive
1, 恋爱其实就是男女之间的一场战争，能力差的就得投降，认输把自己全盘交出去，然后为着另一个人着想，为着他去实现他的人生目标，做别人的附属品。,励志,positive
2, 有人把幸福生活作为目标来追求，那是一种误导。其实幸福并不是可以用来追求的，幸福很大程度上是自身的一种修养，一种感觉。,励志,positive
3, 生活原则：往高处立朝平地坐向阔处行。生活态度：存上等心结中等缘享下等福。生活目标：为社会奉献经典，为人生创造精彩。,励志,positive
4, 疲倦了，累了，于心于人，时刻期许着长眠，终了，还是为着那些看不透的找觅，拖着疲倦的步伐，浑浑噩噩地朝着不知终点的目标而前。,励志,positive
5, 我们生活在一个四处透风、充满凉意的世界上，即使不是自我扩张，不去掠夺他人，不去剥夺别人的成果。就是为了自我生存的需要，完成延续生命的目标，也的确需要一堵印第安式的墙。,励志,positive
6, 【智言慧语】自由与进步是艺术的目标，如在整个人生中一样。即使我们现代人不及我们祖先坚定，至少有许多事情已因文明的精练而大为扩张。,励志,positive
7, 思想是一种具有能量的波，思想也有频率能与宇宙各种事物产生频率上的共振。起心动念要注意了，好的念头、好的动机才能成就事情，达到目标，否则就会遇到层层阻碍。,励志,positive
8, 认清自己，接受自己，并尽全力做好自己能够做的事情，然后朝着更高的目标迈进，那么，在生命结束的时候，就可以无愧于此生了。,励志,positive
9, 教师良好的情绪智力对学生具有潜移默化的影响，它可以促进全面发展教育目标的实现，有利于提高师生创造力水平，并取得良好的教育教学效果。,励志,positive
10, 有效规划时间。设置可行的目标，规划每天的任务和时间，比如，把某天必须要做的事情列出来，其他事搁在一边，能有效减轻压力。,励志,positive
11, 生活的艺术就是舍弃的艺术。现代社会充满了眼花缭乱的诱惑，到处是机会，什么都要选择。如果没有抗拒各种诱惑的勇气，就容易在机会面前做出偏离主导目标的选择，从而使有限的人生难以发挥聚集效应。,励志,positive
12, 【亚默尔思维】亚默尔思维指的是，在追逐主要目标的过程中，会有派生出来的次要目标与机遇，在大家都蜂拥而上抢第一落点时，去抢第二落点不失为明智之举。,励志,positive
13, 【找出问题的根源】找到问题出现的根源，是帮助你理解孩子的行为问题的有力的方式。是不是孩子在学校会出现问题，而在家里就会冷静下来呢？问题行为发生的地方就是孩子在要达成自己重要目标的地方。,励志,positive
14, 一个人追求目标的路途是孤单的，一个人独品辛酸的时候是寂寥的，一个人马不停蹄的追赶着，狂奔着，却总相信前方是一片光明，我从不放弃希望，就像我对生活，对人生的固执，没有人可以动摇。,励志,positive
15, 从那之后，我就一开始特别注意对时间的规划，虽然时常也会因为不知何去何从而感到彷徨，但只要确立了目标，我就会制定出具体的时间规划，然后强迫自己严格按照计划执行。,励志,positive
16, 你与你的目标之间，无论有怎样遥远的距离，都不要担心，而是把你的精神集中在短短的距离上。一个人在很年轻的时候就应当确立自己的奋斗目标。而且目标不妨定高些。,励志,positive
17, 真正的智者应及时清除自己心灵的污垢，舍弃感官的享受，使内心没有挂碍。不仅是求得智慧，做其他事也是一样，要有强烈的欲望。这样，你就可以心无旁骛地向着既定的目标前进。,励志,positive
18, 要想成为有钱人，首先得有一个奋斗目标，然后看准方向，朝着目标前进。有钱人就是这样走过来的。无论他们在做什么事情，其心中必定有一个轮廓、一个方向。,励志,positive
19, 在生活中有一个实实在在的目标会真的令人满意，但是要找到明确你人生的确切目标并不是那么简单的。大多数人找出一个目标只是闹着玩而已，随后他们首先就发现自己并不是真的热心于此。,励志,positive
20, 【智言慧语】修行的最终目标是提高自己的精神境界。确切的说，修行向世俗，生活在当下。能够安于当下，享受当下这一刻，察知这一秒的感受，守住当下，安在当下，已是上品了。,励志,positive
21, 【智言慧语】给自我定一个五年的目标，然后，把它分解成一年一年，半年半年的，三个月的，一个月的。这样，你才能找到自我的目标和方向。,励志,positive
22, 【智言慧语】不知什么是佛，没有目标，盲目地念佛，念了好几年，还照样分别、执着。真正的佛在哪?清静心就是佛，清静心是什么?用智慧放下一切。,励志,positive
23, 这些问题可以帮你看清人生航向；帮你设定目标；让你不断进步，不断获益，从而实现抱负，获得幸福。但这绝不意味着幸福快乐建立在金钱之上。,励志,positive
24, 【幸福女人的经典语录】人生亦如长途跋涉，每个人都希望拥有自己的人生目标，并为实现这个目标而努力奋斗。如果你能把你的人生目标有层次地写出来，就能帮助你集中精力，发挥出你做事时的最高效率。,励志,positive
25, 二十岁的男人是侦查机，四处找找目标，三十岁的男人是战斗机，经久耐用，四十岁的男人是轰炸机，一炮搞定，五十岁的男人是滑翔机，越飞越低，六十岁的男人是手扶拖拉机，七十岁的男人欠费停机。,励志,positive
26, 【治愈系基地】虽然我认为生活就是目标，就是意愿，我仍觉得生活中存在着一年种巨大的、万能的力量，那就是“天命”，天命常常嘲弄于我，却又并不尖刻，除非它发现我有了稳操胜券的感觉。,励志,positive
27, 【处事金句】无论生活也好，为人处事也罢，要明白自己所需所求及目标方向。办事不拖泥带水，说话不人云亦云。办事要果断，说话有自已的思想。,励志,positive
28, 健康长寿的“六个方面”：明确的生活目标；宽阔的胸怀、乐观的心态；有规律的生活作息；合理的饮食；适合自己的锻炼方式；调节身心的业余兴趣。,励志,positive
29, 阳光心态是怀一颗感恩的心，知足常乐。这并非不去追求更高的目标，但人的能力与机遇不同，不可能都心想事成。况且不如意事十之八九，凡事积极的努力，乐观的接受。,励志,positive
30, 【智言慧语】为了成就一番事业，为了实现自己人生的目标，经常为自己整整枝。排除那些不必要的留恋与顾盼，鞭策鞭策自我，以便集中精力于人生的追求。,励志,positive
