,text,tag,author,from_book
0,痛苦是来自于你对事物的解释。,苦,张德芬,《遇见未知的自己》
1,痛苦来自你对一件事的批判。去掉批判，痛苦便消失了。,苦,尼尔·唐纳德·沃尔什,《与神对话》
2,痛苦分两种，一种让你变得更强，另一种毫无价值，只徒添折磨。我对没有价值的东西没有耐心，这种时刻，需要有人采取行动...或做一些不好的事...也是必要的事。好了，痛苦结束了。,苦,迈克尔·道布斯,《纸牌屋》
3,痛苦是一种只要你需要随时就可以提供给你的东西。,苦,格雷厄姆·格林,《权力与荣耀》
4,人的最大痛苦就在于苦求而不得。,苦,海顿,《佚名》
5,原来，人对他者的痛苦是毫无想象力的,苦,林奕含,《房思琪的初恋乐园》
6,痛楚会生出翅膀，现在你明白为何你只是在地上走了。,苦,海勒,《第二十二条军规》
7,垂头丧气的怀疑者们沉闷孤独，无聊、阴沉、忧郁、愤怒、激动、失望、没有信仰，我懂得你们每一个人，我懂得那巨大的苦恼、怀疑、失望和空虚。,苦,惠特曼,《草叶集》
8,逝去的岁月，日渐增长的年龄只有在承受了生活的劳累、卑微和痛苦的鞭笞后才有意义。,苦,惠特曼,《草叶集》
9,人世间有一种伤悲，话难详其。,苦,,
10,这红字烙得太深了。你是取不下来的。但愿我能在忍受我的痛苦的同时，也忍受住他的痛苦！,苦,纳撒尼尔·霍桑,《红字》
11,疼痛的滋味，只有真正感受过，才能知道，才会欲罢不能，念念不忘。,苦,艾小图,《日光沉寂，豆蔻彼年》
12,尤里·安德烈耶维奇从信上抬起茫然的、没有眼泪的眼睛。他什么也看不见，悲痛灼干了泪水，痛苦使他眼睛失神。他看不见周围的一切，什么都意识不到了。,苦,帕斯捷尔纳克,《日瓦戈医生》
13,当我痛苦地站在你的面前，你不能说我一无所有，你不能说我两手空空。,苦,雪莱,《雪莱诗选》
14,痛苦不过是痛苦的概念罢了。,苦,契诃夫,《契诃夫短篇小说选》
15,隐藏的苦恼又重新袭来，更加有力的撕扯着他的心脏。,苦,契诃夫,《契诃夫短篇小说选》
16,你知不知道， 我正含着两眼热泪在这深夜里和你说话？,苦,曹禺,《雷雨》
17,我曾经是那么敬你爱你，甚至将你视作我人生唯一的依靠，可是你是怎么对待我的？你就那样活生生地剥夺我的一切、赶尽杀绝的时候，你皱过眉头没有？你有过迟疑没有？,苦,木浮生,《良言写意》
18,其实，我们的前缘，仅仅是，我曾经那样地喜欢过你。,苦,唐七公子,《三生三世枕上书》
19,银月初生，佛铃飘落，一步一行在这梦境，前缘与今生，终不得破。,苦,唐七公子,《三生三世枕上书》
20,你是否也曾在梦中见过我的双眼？,苦,丁墨,《美人为馅》
