,text,tag,author,from_book
0,你到了深圳，要注意身体，多吃饭。那里人都吃大米，很少吃面食，我们北方人吃不惯，你爱吃面，要学着习惯。那里夏天热，冬天潮，你要自己注意冷暖。你有时候脾气不好，出门在外要学着忍让。记着，吃亏是福。广东话听不懂，你要多给我打电话，这里，是我给你的五百块钱，你拿好了，里面还有我的照片，想我了就看看，我爱你。,冬天,刘惠宁,
1,天风卷动春日的韶光，卷动夏日的雷雨，卷动秋日的黄叶，卷动冬天的冰雪，滚滚而来，滚滚而逝。,冬天,愤怒的香蕉,《赘婿》
2,冬天越冷，樱花越盛开。人们也是如此。没有痛苦和麻烦，就很难有大的发展，也就无法把握真正的幸福。,冬天,稻盛和夫,《干法》
3,帝林谋逆，巴特利两位忠诚的大人忧国忧民，心急如焚啊--他们的心从今年的一月一直烧到了七月，还真是耐烧的。白川，你有空帮我去问问这两位好汉，他们的心脏是用什么材料做的？我给壁炉装上一个，冬天太省柴了！,冬天,老猪,《紫川》
4,孩子，你将会过着和平、安详、无忧无虑的生活，你将注定是锦衣玉食，优于常人，这也注定了，缺乏磨砺的你，不可能像你父亲一样出色、一样优秀，一样勇敢、坚定和无畏。 “那又怎样呢？ “童年时，我们讲英雄故事给你听，并不是一定要你成为英雄，而是希望你具有高尚的品德。少年时，我们让你接触诗歌、绘画、音乐，“是为了让你的心灵充满情趣。这些情趣会支撑你的一生。这样，即使在最严酷的冬天，你也不会忘记玫瑰的芳香。,冬天,老猪,《紫川》
5,童年时，我们讲英雄故事给你听，并不是一定要你成为英雄，而是希望你具有高尚的品德。少年时，我们让你接触诗歌、绘画、音乐，是为了让你的心灵充满情趣，这些情趣会支撑你的一生，这样，即使在最严酷的冬天，你也不会忘记玫瑰的芳香。,冬天,老猪,《紫川》
6,我害怕冬天。我害怕警察。我害怕去荒唐的时空，被汽车撞，被人打。还有，我害怕在时间中迷路，永远回不去。我害怕失去你。我害怕你厌倦了那种被我抛下的生活，我害怕你弃我而去。,冬天,奥黛丽·尼芬格,《时间旅行者的妻子》
7,我独自一人入睡，独自一人醒来。我经常走动。我工作到精疲力尽。我注视被一整个冬天的积雪覆盖的垃圾，随风飞舞。除非你停下来想这件事情，否则一切都依旧单纯。,冬天,奥黛丽·尼芬格,《时间旅行者的妻子》
8,谷仓里的生活非常好——不管白天还是黑夜，冬天夏天，春天秋天，阴沉日子清朗日子。威尔伯想，这真是个最好的地方，这温馨可爱的仓底，有嘎嘎不休的鹅，有变换不同的季节，有太阳的温暖，有燕子来去，有老鼠在附近，有单调没变化的羊，有蜘蛛的爱，有肥料的气味，有所有值得称赞的东西。,冬天,E·B·怀特,《夏洛的网》
9,"让我来告诉你“奔狼”的故事……当大雪降下，冷风吹起，孤狼则死，狼聚则生。 夏天时，可以争吵，但一到冬天，我们便必须保卫彼此,互相取暖,共享力量。",冬天,乔治·马丁,《权力的游戏》
10,人间没有永恒的夜晚，世界没有永恒的冬天。,冬天,艾青,《艾青诗选》
11,等到风向一转，河岸上柳枝就变青，就开出了团团的绒花，白白的柳絮被风吹动着四处飞扬。是啊，春天说来就来，来得比冬天还快。,冬天,阿来,《尘埃落定》
12,风吹在河上，河是温暖的。风把水花从温暖的母体里刮起来，水花立即就变得冰凉了。水就是这样一天天变凉的。直到有一天晚上，它们飞起来时还是一滴水，落下去就是一粒冰，那就是冬天来到了。,冬天,阿来,《尘埃落定》
