,text,tag,author,from_book
0,人怕什么?激情后的陌生，暧昧后的冷漠温柔后的冷淡，牵手过后分手最怕什么？信任后的利用，认真后的痛苦挽留后的回忆，没朋友只有家人背叛之后，想用钱打发走问她要多少？人没了，我还要钱干嘛？你说，我要钱干嘛！十年，一直爱他岁月如初可想而知切肤之痛，至亲至伤....,激情,刘惠宁,
1,天地皆静，万物如画，成为永恒的一幕，所有一切都一动不动，仿佛静止了一样。,激情,辰东,《遮天》
2,纵然越过死谷，亦不惧怕其祸，因及与我同在。,激情,宫崎骏,《起风了》
3,总有那么一些时年。怀揣着急切渴望被他人认真检阅的悲伤和激情，对路途抱有过分的单纯和过分执拗的回忆。,激情,七堇年,《尘曲》
4,有些境况无疑比另一些境况优越，但是没有一种境况值得怀着那样一种激情去追求，这种激情会驱使我们违反谨慎或正义的法则，或者由于回想起自己的愚蠢行动而感到羞耻，或者由于厌恶自己的不公正行为而产生懊悔，从而破坏我们内心的平静。,激情,亚当·斯密,《国富论》
5,对于一个正在寻找人生伴侣的女性，我的建议是：她可以和各种类型的男人约会：坏坏的，酷酷的，有承诺恐惧症的，以及满怀激情的，但别和他们结婚。坏男人性感的因素不会让他们成为好丈夫。到了想安顿下来的时候，你应该找一个愿意和你平等相处的男人。这类男性会认为女人应该聪明、有主见、有事业心；他会重视公平，并做好分担家庭责任的准备，甚至非常乐意这么做。这样的男人确实存在。,激情,雪莉·桑德伯格,《向前一步》
6,我希望你们找到人生中真正的意义、满足和激情。我希望你们能安度未来的艰难时光，并收获更强大的力量与更坚定的决心。我希望你们能够平衡自己的生活，睁大眼睛去寻找。我还希望你们怀着进取心，在事业里全心投入，去掌控世界。因为世界需要你们去改变它，全世界女性都在指望你们改变她们的命运。,激情,雪莉·桑德伯格,《向前一步》
7,萨里微笑着说，接过了枪，加入了高唱国歌的队伍，在被火光映红了一半的夜空下，在颤动的土地上，向激战中的城市走去。,激情,威廉·曼彻斯特,《光荣与梦想》
8,既然庸庸碌碌也难逃一死，何不奋起一搏？,激情,荷马,《荷马史诗》
9,死亡无法逃避，那是上帝在我们一出生时就许下的诺言。但是在诺言兑现之前，我们都希望会有些事情发生，不管那是浪漫激情、养育孩子的快乐还是巨大损失的悲痛，我们都希望经历一些让生命有意义的事情。但不幸的是，并不是所有的生命都有意义，一些人只是天天坐视旁观，等待着一些事情发生到他们身上，在还没太晚之前。,激情,马克·切利,《绝望的主妇》
10,看着看着，成岗眼前象闪过了一道亮光，突然感到异常的清新和愉快!老李过去作过什么工作，除了老李刚才讲的，他一点不知道，但他确信，他大哥当时从川东特委带回家的这份文件，不是别人，正是李敬原亲手刻写的!,激情,杨益言,《红岩》
11,她贪心肠望着微起涟波的平静的大海，忘记了走路。,激情,杨沫,《青春之歌》
12,经历过很多很多事情以后终于能够体会和了解：未必完治不爱丽香，如同他曾经很无奈的说过的：“把你的将来交给我承担，太沉重”这样一个激情绚烂的女子，这样一份浓墨重彩的感情是用来欣赏的，爱，却的的确确是很多人负荷不了的，毕竟：宠爱不起……,激情,坂元裕二,《东京爱情故事》
13,只要能切实的收获，劳动者就会在土地上产生一种创作般的激情。,激情,路遥,《人生》
14,她最爱的一棵树足有220岁，比法国大革命还老。老得足够能让华兹华斯和拿破仑也吃到它的果实。,激情,珍妮特·温特森,《写在身体上》
15,战，战，战！苦海无边！我就要横渡！不横渡，又怎么知道苦海无边！放下屠刀，立地成佛，那也得先有屠刀，才能放下，没有屠刀，怎么放下！没有屠刀，怎么成佛！,激情,梦入神机,《阳神》
